Tag1,Tag2,OERatio,Count1,Count2,Count12,CountAll
"modern-warfare-3","multiplayer","2.70361008986928","204","384","10","21179"
"save-games","wii","2.66536622199849","137","174","3","21179"
"fallout-3","pc","2.61125267137925","79","616","6","21179"
"dungeon-defenders","xbox-live","2.58595848595849","117","70","1","21179"
"achievements","ios","2.56662502796629","506","212","13","21179"
"dlc","wii","2.53579980842912","96","174","2","21179"
"mods","world-of-warcraft","2.52966645764281","183","366","8","21179"
"dota-2","steam","2.48332063082605","74","461","4","21179"
"hosting","steam","2.46996944463882","93","461","5","21179"
"achievements","diablo-3","2.46915252932734","506","1746","103","21179"
"mods","os-x","2.4110883424408","183","144","3","21179"
"dlc","steam","2.39278289949385","96","461","5","21179"
"pc","steam","2.38656787897569","616","461","32","21179"
"borderlands","multiplayer","2.34696365248227","94","384","4","21179"
"quests","world-of-warcraft","2.33017933766091","149","366","6","21179"
"fallout-3","steam","2.32614843900162","79","461","4","21179"
"borderlands","xbox-360","2.32276815091029","94","582","6","21179"
"steam","technical-issues","2.2970715835141","461","300","15","21179"
"fallout-3","terminology","2.29135562046954","79","117","1","21179"
"achievements","binding-of-isaac","2.26247195812413","506","111","6","21179"
"mods","pc","2.25452416436023","183","616","12","21179"
"fez","save-games","2.24045276631757","69","137","1","21179"
"call-of-duty-black-ops","modern-warfare-3","2.19335128417564","142","204","3","21179"
"os-x","starcraft-2","2.15865541422048","144","1022","15","21179"
"hosting","windows-7","2.14840738486508","93","106","1","21179"
"pc","skyrim","2.14083807358155","616","1879","117","21179"
"call-of-duty-black-ops","xbox-live","2.13068410462777","142","70","1","21179"
"minecraft-smp","multiplayer","2.10109126984127","105","384","4","21179"
"deus-ex-human-revolution","save-games","2.08907082264746","148","137","2","21179"
"dungeon-defenders","pc","2.05701243201243","117","616","7","21179"
"pc","portal-2","2.02244079449962","616","153","9","21179"
"pc","save-games","2.00767845293393","616","137","8","21179"
